player_id,market_value_date,market_value
307,"Dec 22, 2021",70.0
307,"Jun 9, 2022",65.0
307,"Nov 9, 2022",65.0
308,"Apr 25, 2012",0.25
308,"Jun 1, 2012",0.3
308,"Aug 13, 2012",0.5
308,"Sep 24, 2012",2.0
308,"Dec 19, 2012",3.0
308,"Jun 4, 2013",3.5
308,"Dec 27, 2013",5.0
308,"Jun 20, 2014",7.5
308,"Oct 5, 2014",10.0
308,"Feb 12, 2015",14.0
308,"Jul 1, 2015",18.0
308,"Feb 9, 2016",20.0
308,"Aug 1, 2016",30.0
308,"Feb 20, 2017",38.0
308,"Jun 28, 2017",40.0
308,"Oct 23, 2017",50.0
308,"Jan 2, 2018",60.0
308,"May 28, 2018",70.0
308,"Dec 19, 2018",75.0
308,"Mar 5, 2019",85.0
308,"Jun 13, 2019",120.0
308,"Dec 10, 2019",150.0
308,"Apr 8, 2020",120.0
308,"Oct 13, 2020",120.0
308,"Mar 18, 2021",100.0
308,"Jun 8, 2021",85.0
308,"Dec 23, 2021",80.0
308,"Jun 15, 2022",70.0
308,"Sep 21, 2022",60.0
308,"Nov 9, 2022",60.0
315,"Jul 1, 2016",0.1
315,"Jan 18, 2017",1.0
315,"Jun 7, 2017",5.0
315,"Jan 17, 2018",16.0
315,"Mar 27, 2018",25.0
315,"Jun 12, 2018",40.0
315,"Oct 4, 2018",50.0
315,"Dec 28, 2018",65.0
315,"Mar 13, 2019",70.0
315,"Jun 12, 2019",75.0
315,"Dec 12, 2019",75.0
315,"Apr 8, 2020",67.5
315,"Aug 25, 2020",70.0
315,"Dec 29, 2020",75.0
315,"May 27, 2021",75.0
315,"Oct 14, 2021",70.0
315,"Dec 28, 2021",65.0
315,"Mar 15, 2022",70.0
315,"Jun 7, 2022",70.0
315,"Nov 9, 2022",70.0
313,"Dec 15, 2016",0.2
313,"May 24, 2017",0.45
313,"Dec 5, 2017",0.7
313,"May 2, 2018",0.8
313,"Aug 15, 2018",10.0
313,"Dec 15, 2018",10.0
313,"Jun 5, 2019",10.0
313,"Oct 2, 2019",15.0
313,"Dec 17, 2019",25.0
313,"Feb 11, 2020",40.0
313,"Mar 11, 2020",50.0
313,"Apr 8, 2020",45.0
313,"Jul 8, 2020",60.0
313,"Sep 16, 2020",80.0
313,"Feb 10, 2021",75.0
313,"Jun 9, 2021",70.0
313,"Dec 22, 2021",70.0
313,"Jun 9, 2022",70.0
313,"Nov 9, 2022",70.0
309,"Apr 22, 2014",0.3
309,"Jul 10, 2014",0.5
309,"Feb 4, 2015",1.0
309,"Mar 29, 2015",1.5
309,"Jul 1, 2015",4.0
309,"Oct 16, 2015",8.0
309,"Feb 15, 2016",18.0
309,"Jun 1, 2016",18.0
309,"Jul 22, 2016",30.0
309,"Feb 20, 2017",30.0
309,"Jun 28, 2017",35.0
309,"Oct 23, 2017",45.0
309,"Jan 2, 2018",75.0
309,"May 28, 2018",90.0
309,"Dec 19, 2018",100.0
309,"Jun 13, 2019",100.0
309,"Dec 10, 2019",100.0
309,"Apr 8, 2020",80.0
309,"Sep 16, 2020",70.0
309,"Feb 10, 2021",60.0
309,"Mar 31, 2021",70.0
309,"Jun 1, 2021",60.0
309,"Dec 22, 2021",70.0
309,"Jun 9, 2022",60.0
309,"Nov 9, 2022",70.0
289,"Mar 17, 2005",0.075
289,"Sep 16, 2005",0.15
289,"Aug 21, 2006",0.35
289,"Jan 15, 2007",1.5
289,"Jun 21, 2007",3.0
289,"Jan 1, 2008",4.5
289,"Jun 4, 2008",7.0
289,"Jan 21, 2009",9.0
289,"Jun 10, 2009",11.0
289,"Jan 17, 2010",15.0
289,"Jul 16, 2010",20.0
289,"Jan 12, 2011",24.0
289,"Jun 29, 2011",28.0
289,"Jan 23, 2012",30.0
289,"Jun 29, 2012",30.0
289,"Jan 13, 2013",30.0
289,"Jun 30, 2013",30.0
289,"Feb 12, 2014",35.0
289,"Jul 10, 2014",40.0
289,"Feb 4, 2015",45.0
289,"Jul 1, 2015",45.0
289,"Feb 15, 2016",45.0
289,"Jun 1, 2016",45.0
289,"Jul 22, 2016",45.0
289,"Feb 7, 2017",45.0
289,"Jun 19, 2017",40.0
289,"Dec 28, 2017",35.0
289,"Jun 5, 2018",35.0
289,"Oct 22, 2018",30.0
289,"Dec 18, 2018",22.0
289,"Jun 5, 2019",18.0
289,"Dec 17, 2019",18.0
289,"Apr 8, 2020",14.5
289,"Sep 16, 2020",18.0
289,"Feb 10, 2021",18.0
289,"Jun 1, 2021",18.0
289,"Dec 22, 2021",14.0
289,"Jun 9, 2022",15.0
289,"Nov 9, 2022",12.0
303,"Jul 2, 2015",0.25
303,"Sep 6, 2015",0.5
303,"Feb 4, 2016",0.8
303,"Jul 13, 2016",0.8
303,"Oct 6, 2016",3.0
303,"Jan 23, 2017",3.0
303,"Jun 27, 2017",3.5
303,"Oct 18, 2017",5.0
303,"Dec 28, 2017",12.0
303,"Apr 4, 2018",25.0
303,"Jun 5, 2018",30.0
303,"Jul 16, 2018",40.0
303,"Dec 18, 2018",35.0
303,"Jun 5, 2019",30.0
303,"Oct 2, 2019",35.0
303,"Dec 17, 2019",35.0
303,"Apr 8, 2020",28.0
303,"Jul 8, 2020",40.0
303,"Sep 16, 2020",45.0
303,"Feb 10, 2021",35.0
303,"Jun 1, 2021",35.0
303,"Dec 22, 2021",30.0
303,"Jun 9, 2022",30.0
303,"Nov 9, 2022",35.0
245,"Jul 1, 2020",1.0
245,"Nov 26, 2020",10.0
245,"Feb 10, 2021",24.0
245,"Jun 1, 2021",38.0
245,"Oct 7, 2021",50.0
245,"Dec 22, 2021",55.0
245,"Jun 9, 2022",65.0
245,"Sep 21, 2022",80.0
245,"Nov 9, 2022",100.0
230,"Aug 9, 2013",0.3
230,"Jan 24, 2014",0.5
230,"Jun 30, 2014",0.7
230,"Oct 1, 2014",1.5
230,"Jan 13, 2015",5.0
230,"Jul 1, 2015",5.0
